AccountCode,Description,SubTotal,TotalTax,TotalAmount,Date,DueDate,Status,Type,CurrencyCode,InvoiceID
401,Accounting Fees,24.0,0.0,24.0,2018-04-01,2018-05-30,PAID,ACCPAY,GBP,d5f18fe9-ea14-480d-a4d2-9c0a5045e083
401-2,PPL MOulton,24.23,0.0,24.23,2018-04-01,2018-05-01,PAID,ACCPAY,GBP,8f78c084-ce58-4c30-a392-6d71534dde24
401-2,PPL Wootton,12.2,0.0,12.2,2018-04-04,2018-05-04,PAID,ACCPAY,GBP,d6f1bf0c-4ddc-4b1c-b491-5ac69ee3584b
463,Invoice 938260,11.28,0.0,11.28,2018-04-02,2018-05-02,PAID,ACCPAY,GBP,139d47d4-1915-4bc9-bef4-7e76518695f3
472-3,Magazines subscription Moulton,17.99,0.0,17.99,2018-04-01,2018-05-01,PAID,ACCPAY,GBP,89a29a73-2b56-403c-9f50-ea48d207b882
408-7,Inv 0000703211 Wootton,24.59,0.0,24.59,2018-04-01,2018-05-01,PAID,ACCPAY,GBP,127cb231-1dc2-4481-879d-a804924a82ac
408-7,Feminine Hygiene Disposal Wootton,11.62,0.0,11.62,2018-04-01,2018-05-01,PAID,ACCPAY,GBP,69bec41c-be7f-48a3-8d2a-574a9eb2a9f2
408-7,Inv 0000703334 Moulton,58.06,0.0,58.06,2018-04-01,2018-05-01,PAID,ACCPAY,GBP,692b85d2-ff55-4db4-a1ac-fa5ac366694b
433-1,Business Personal Insurance,78.99,0.0,78.99,2018-04-03,2018-05-10,PAID,ACCPAY,GBP,653e054f-f943-4f2f-8cfb-5c8120ca0622
433-1,Business Personal Insurance,14.38,0.0,14.38,2018-04-04,2018-05-04,PAID,ACCPAY,GBP,b8427b55-0c65-4a6a-a555-c427eeacc124
433-1,Business personal insurance ,85.99,0.0,85.99,2018-04-04,2018-05-04,PAID,ACCPAY,GBP,2ef51ccf-3a8b-4eed-9432-47f3f8704360
902,Natwest Mortgage,1131.93,0.0,1131.93,2018-04-01,2018-05-01,PAID,ACCPAY,GBP,7cd447e6-57ae-4df9-8905-e0d48cce2461
901,Natwest Loan,354.9,0.0,354.9,2018-04-01,2018-05-01,PAID,ACCPAY,GBP,157e5ff6-440a-44af-b28a-19462795fddc
401,accountant fees,754.8,0.0,754.8,2018-04-01,2018-05-01,PAID,ACCPAY,GBP,49fb9268-2f23-4d04-a212-9b5a9b57837d
105,Felt,129.3,0.0,129.3,2018-04-04,2018-04-10,PAID,ACCPAY,GBP,265a034a-c0be-44a3-9803-0ea3f8bb1fdd
472-5,Milk,1.54,0.0,1.54,2018-04-03,2018-04-10,PAID,ACCPAY,GBP,9f6fd002-9965-46d3-bf37-f09c9f23dcfe
472-5,Milk,1.68,0.0,1.68,2018-04-05,2018-04-10,PAID,ACCPAY,GBP,b276be26-a346-488d-ba0c-fb4ddf32fb41
105,Texan,61.12,0.0,61.12,2018-04-06,2018-04-10,PAID,ACCPAY,GBP,3b708d59-faae-414d-87d3-d4105bdb2a87
108,Injection Prescription,12.0,0.0,12.0,2018-04-04,2018-04-10,PAID,ACCPAY,GBP,4cfaa7c6-aaf0-4a28-9d2e-7716d3dfad6e
465,Business rates,364.89,0.0,364.89,2018-04-08,2018-05-06,PAID,ACCPAY,GBP,14d08a87-6e01-4157-982d-73131506304a
413-5,Keyboard,16.98,0.0,16.98,2018-04-04,2018-04-11,VOIDED,ACCPAY,GBP,bd731162-8c32-4ed9-be00-6343617b691a
413-5,Mouse,11.74,0.0,11.74,2018-04-05,2018-04-11,VOIDED,ACCPAY,GBP,26165d62-4ac7-4ea5-8e15-65a18cf856d7
103,Shoulder Pulleys,20.46,0.0,20.46,2018-04-04,2018-04-11,PAID,ACCPAY,GBP,3b6bc5bc-1255-4752-8e6c-27d82e088a37
472-5,Milk/Juice/Oranges,5.45,0.0,5.45,2018-04-05,2018-04-11,PAID,ACCPAY,GBP,4e489a8f-bfd7-44ca-a8d3-e983de58c631
461-1,Laminating Pouches,6.45,0.0,6.45,2018-04-04,2018-04-11,PAID,ACCPAY,GBP,8422d51c-8280-4a9f-bff7-762bbbde063f
413-5,Keyboard,16.98,0.0,16.98,2018-04-04,2018-04-11,PAID,ACCPAY,GBP,f8d7dbe6-6544-4841-bf71-d544eb126c31
408-5,Yellow bin bags,6.04,0.0,6.04,2018-04-04,2018-04-11,PAID,ACCPAY,GBP,73a13e9f-069d-4029-914b-912a5256f14b
413-5,Mouse,11.74,0.0,11.74,2018-04-05,2018-04-11,PAID,ACCPAY,GBP,133bd601-69f5-467e-a6df-f45c69bdc137
105,Blades/Guaze/Gloves,48.99,0.0,48.99,2018-04-05,2018-04-11,PAID,ACCPAY,GBP,ddf6f5ed-bd6f-4f10-9c75-c7021bbd14c4
472-6,Postage,1.8,0.0,1.8,2018-04-06,2018-04-11,PAID,ACCPAY,GBP,80fcaee7-af88-4c79-8086-6425f92f1aea
408-4,Moulton Windows,20.0,0.0,20.0,2018-04-04,2018-04-11,PAID,ACCPAY,GBP,a8c85044-23c9-425f-9b03-9285b86785e6
472-5,Milk & Tea,6.79,0.0,6.79,2018-04-09,2018-04-11,PAID,ACCPAY,GBP,b4fae2c4-9fd0-4ec5-8ac4-a73cc9a55b53
472-6,Postage,1.01,0.0,1.01,2018-04-09,2018-04-11,PAID,ACCPAY,GBP,2b3e8f4a-fa5c-48bf-8865-aef483aa8eca
408-1,Moulton & Wootton Cleaning,300.0,0.0,300.0,2018-04-03,2018-04-10,PAID,ACCPAY,GBP,dca043f3-24f1-4ee5-b14e-4cd9555d514e
474-8,Beds & Ultra sound service ,178.5,0.0,178.5,2018-04-05,2018-04-11,PAID,ACCPAY,GBP,12327c58-de15-4bb7-b5cb-8be646937b88
474-8,Beds & Ultra sound service ,158.1,0.0,158.1,2018-04-05,2018-04-11,PAID,ACCPAY,GBP,00cb82a3-f6f5-443f-82f5-35768351f979
109,Room hire Pilates,195.0,0.0,195.0,2018-04-03,2018-04-10,PAID,ACCPAY,GBP,57503fab-fed0-4ca7-8818-593598a41d7c
474-8,Ant killer ,14.5,0.0,14.5,2018-04-10,2018-04-11,PAID,ACCPAY,GBP,ae510406-1304-423c-a5a8-674f020f4cfc
413-5,Phone case,12.98,0.0,12.98,2018-04-10,2018-04-11,PAID,ACCPAY,GBP,4e519e1f-e6db-465f-a450-be91a1503c89
413-5,Keyboard & Mouse,23.7,0.0,23.7,2018-04-11,2018-04-11,PAID,ACCPAY,GBP,7ce3b356-526b-40b4-b01f-b6e6cfbca9bc
005,cons,1906.0,0.0,1906.0,2018-04-03,2018-05-03,PAID,ACCREC,GBP,685d28ee-cdf2-4209-b5f0-2b711f5345e9
008,Voucher,2204.5,0.0,2204.5,2018-04-03,2018-05-03,PAID,ACCREC,GBP,475fe653-78e7-42b8-9499-e8a347a0d212
472-3,Magazines,17.99,0.0,17.99,2018-04-14,2018-05-14,PAID,ACCPAY,GBP,281a839e-37ea-4ca3-9ffb-3fb1fb6b51a8
469,Rent,1100.0,0.0,1100.0,2018-04-15,2018-04-15,PAID,ACCPAY,GBP,ad48cc01-3907-47bc-bbcc-169f543719ac
475,Uniform - Loren ,62.4,0.0,62.4,2018-04-09,2018-04-11,PAID,ACCPAY,GBP,669d28f3-6897-4b9c-b4a6-fcf1ecd22daf
005,cons,2603.5,0.0,2603.5,2018-04-04,2018-05-04,PAID,ACCREC,GBP,846360cc-6138-4ee8-827e-1dbcd43ebd7c
409-2,Wootton Fire extinguishers service,42.0,0.0,42.0,2018-04-13,2018-04-16,PAID,ACCPAY,GBP,c4a952fd-5922-40bb-904f-39c6ae5d09ad
409-2,Moulton Fire extinguishers service,42.0,0.0,42.0,2018-04-13,2018-04-16,PAID,ACCPAY,GBP,c3a0cd81-4176-4892-877e-e4aa1396d542
011,pods,2213.0,0.0,2213.0,2018-04-04,2018-05-04,PAID,ACCREC,GBP,b7d95c34-8f30-4bc6-8a6f-65672613e6f5
409-3,HR & Health & Safety,295.2,0.0,295.2,2018-04-18,2018-05-30,PAID,ACCPAY,GBP,45b574d4-ecc8-4d99-9980-f1887a654529
011,pods,1778.5,0.0,1778.5,2018-04-05,2018-05-05,PAID,ACCREC,GBP,6fa707d6-49c1-4e93-bba2-08d8a79a3cd9
485,Sam Physiofirst membership,18.16,0.0,18.16,2018-04-01,2018-05-01,PAID,ACCPAY,GBP,33d16d0b-6ccf-49dc-b740-a3ba783b0cf7
433,Insurance ,62.51,0.0,62.53,2018-04-15,2018-05-15,VOIDED,ACCPAY,GBP,6847272b-d85b-4889-8cec-02f5489a5815
401-1,Bank Charges,25.18,0.0,25.18,2018-04-18,2018-04-11,PAID,ACCPAY,GBP,924a1fe3-26e8-46aa-9a68-770d84be79e0
002,pmi,1029.0,0.0,1029.0,2018-04-05,2018-05-05,PAID,ACCREC,GBP,c58e1526-8487-4e4f-8038-7e5fc7f99254
002,pmi,1533.25,0.0,1533.25,2018-04-19,2018-05-19,VOIDED,ACCREC,GBP,f5175e10-0680-444a-abac-8adbe38aba66
445,Wootton Gas,190.31,0.0,190.31,2018-04-10,2018-04-10,PAID,ACCPAY,GBP,7920e878-b826-4c9d-85f2-b0aee6ff2014
005,cons,1660.0,0.0,1660.0,2018-04-06,2018-05-06,PAID,ACCREC,GBP,bbaa690e-3b81-4c10-9b50-5255e5eddf8f
005,cons,1969.0,0.0,1969.0,2018-04-06,2018-05-06,PAID,ACCREC,GBP,fafd979c-a070-4dce-8696-c27052152611
