Date,Status,LineAmountType,Narration,AccountCode,LineAmount,Description,ManualJournalID
2018-10-31,POSTED,NoTax,Moulton Payroll - October 2018,825,-1773.21,Moulton Payroll - October 2018,ecfc1d9b-c881-418c-871b-41d6b33836d1
2018-10-31,POSTED,NoTax,Moulton Payroll - October 2018,825,-2039.21,Moulton Payroll - October 2018,ecfc1d9b-c881-418c-871b-41d6b33836d1
2018-10-31,POSTED,NoTax,Moulton Payroll - October 2018,814,-19403.22,Moulton Payroll - October 2018,ecfc1d9b-c881-418c-871b-41d6b33836d1
2018-10-31,POSTED,NoTax,Moulton Payroll - October 2018,858,-464.28,Moulton Payroll - October 2018,ecfc1d9b-c881-418c-871b-41d6b33836d1
2018-10-31,POSTED,NoTax,Moulton Payroll - October 2018,858,-319.26,Moulton Payroll - October 2018,ecfc1d9b-c881-418c-871b-41d6b33836d1
2018-10-31,POSTED,NoTax,Moulton Payroll - October 2018,520,54.27,Moulton Payroll - October 2018,ecfc1d9b-c881-418c-871b-41d6b33836d1
2018-10-31,POSTED,NoTax,Moulton Payroll - October 2018,476,34.01,Moulton Payroll - October 2018,ecfc1d9b-c881-418c-871b-41d6b33836d1
2018-10-31,POSTED,NoTax,Moulton Payroll - October 2018,153,230.98,Moulton Payroll - October 2018,ecfc1d9b-c881-418c-871b-41d6b33836d1
2018-10-31,POSTED,NoTax,Moulton Payroll - October 2018,970,1548.15,Moulton Payroll - October 2018,ecfc1d9b-c881-418c-871b-41d6b33836d1
2018-10-31,POSTED,NoTax,Moulton Payroll - October 2018,970,1548.15,Moulton Payroll - October 2018,ecfc1d9b-c881-418c-871b-41d6b33836d1
2018-10-31,POSTED,NoTax,Moulton Payroll - October 2018,814,-3096.3,Moulton Payroll - October 2018,ecfc1d9b-c881-418c-871b-41d6b33836d1
2018-10-31,POSTED,NoTax,Moulton Payroll - October 2018,478,-17.65,Private Medical Insurance Directors,ecfc1d9b-c881-418c-871b-41d6b33836d1
2018-10-31,POSTED,NoTax,Moulton Payroll - October 2018,476-2,-49.32,Private Medical Insurance Reception,ecfc1d9b-c881-418c-871b-41d6b33836d1
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,478,702.0,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,520-2,1416.66,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,476-2,3793.66,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,154,505.41,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,151,13359.84,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,520-1,147.04,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,476-1,146.24,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,152,1276.56,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,825,-77.5,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,825,-2033.4,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,825,-1365.09,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,825,-1569.84,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,814,-15965.94,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,858,-285.65,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,858,-238.05,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,520,23.3,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,476,22.05,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,153,192.7,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,970,1548.15,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,970,1548.15,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,814,-3096.3,Wootton Payroll - October 2018,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,478,-17.65,Private Medical Insurance Directors,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-10-31,POSTED,NoTax,Wootton Payroll - October 2018,151,-32.34,Private Medical Insurance Therapists,f8639492-f6a1-4f25-a30b-6b057c91def9
2018-11-01,POSTED,NoTax,Reversal: closing stock per client,701,-1027.28,closing stock per client,f43f46d1-ec9d-435b-8bc0-9b9d20a94fb8
2018-11-01,POSTED,NoTax,Reversal: closing stock per client,107,1027.28,closing stock per client,f43f46d1-ec9d-435b-8bc0-9b9d20a94fb8
2018-11-01,POSTED,NoTax,Reversal: closing stock per client,701,-1390.78,closing stock per client,f43f46d1-ec9d-435b-8bc0-9b9d20a94fb8
2018-11-01,POSTED,NoTax,Reversal: closing stock per client,107,1390.78,closing stock per client,f43f46d1-ec9d-435b-8bc0-9b9d20a94fb8
2018-10-31,POSTED,NoTax,closing stock per client,701,1027.28,closing stock per client,d9ae2832-0a71-4d4c-818c-4e20705991a3
2018-10-31,POSTED,NoTax,closing stock per client,107,-1027.28,closing stock per client,d9ae2832-0a71-4d4c-818c-4e20705991a3
2018-10-31,POSTED,NoTax,closing stock per client,701,1390.78,closing stock per client,d9ae2832-0a71-4d4c-818c-4e20705991a3
2018-10-31,POSTED,NoTax,closing stock per client,107,-1390.78,closing stock per client,d9ae2832-0a71-4d4c-818c-4e20705991a3
2018-11-30,POSTED,NoTax,CSP Subscriptions - Sam,620,-14.87,CSP Subscriptions - Sam,78cbd31d-df06-4939-8c0b-f9a8a3bf7923
2018-11-30,POSTED,NoTax,CSP Subscriptions - Sam,620,-14.86,CSP Subscriptions - Sam,78cbd31d-df06-4939-8c0b-f9a8a3bf7923
2018-11-30,POSTED,NoTax,CSP Subscriptions - Sam,485,14.87,CSP Subscriptions - Sam,78cbd31d-df06-4939-8c0b-f9a8a3bf7923
2018-11-30,POSTED,NoTax,CSP Subscriptions - Sam,485,14.86,CSP Subscriptions - Sam,78cbd31d-df06-4939-8c0b-f9a8a3bf7923
2018-10-31,POSTED,NoTax,Loan and Mortgage Interest,901,-8.26,Loan and Mortgage Interest,724be7a8-602c-4123-9cad-fd16487ff273
2018-10-31,POSTED,NoTax,Loan and Mortgage Interest,902,-194.72,Loan and Mortgage Interest,724be7a8-602c-4123-9cad-fd16487ff273
2018-10-31,POSTED,NoTax,Loan and Mortgage Interest,496,202.98,Loan and Mortgage Interest,724be7a8-602c-4123-9cad-fd16487ff273
2018-10-31,POSTED,NoTax,Loan and Mortgage Interest,901,-8.27,Loan and Mortgage Interest,724be7a8-602c-4123-9cad-fd16487ff273
2018-10-31,POSTED,NoTax,Loan and Mortgage Interest,902,-194.72,Loan and Mortgage Interest,724be7a8-602c-4123-9cad-fd16487ff273
2018-10-31,POSTED,NoTax,Loan and Mortgage Interest,496,202.99,Loan and Mortgage Interest,724be7a8-602c-4123-9cad-fd16487ff273
2018-10-31,POSTED,NoTax,Loan and Mortgage Interest,902-1,-236.25,Loan and Mortgage Interest,724be7a8-602c-4123-9cad-fd16487ff273
2018-10-31,POSTED,NoTax,Loan and Mortgage Interest,601,236.25,Loan and Mortgage Interest,724be7a8-602c-4123-9cad-fd16487ff273
2018-10-31,POSTED,NoTax,Loan and Mortgage Interest,902-1,-236.25,Loan and Mortgage Interest,724be7a8-602c-4123-9cad-fd16487ff273
2018-10-31,POSTED,NoTax,Loan and Mortgage Interest,601,236.25,Loan and Mortgage Interest,724be7a8-602c-4123-9cad-fd16487ff273
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,478,702.0,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,520-2,1676.38,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,476-2,4414.53,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,154,413.47,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,151,11115.13,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,520-1,182.92,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,476-1,230.48,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,152,1114.47,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,825,-65.5,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,825,-1913.5,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,825,-1328.61,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,825,-1527.87,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,814,-14689.3,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,858,-274.61,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,858,-228.87,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,520,28.5,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,476,37.19,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,153,163.18,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,970,1548.15,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,970,1548.15,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,814,-3096.3,Wootton Payroll - October 2018,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,478,-17.65,Private Medical Insurance Directors,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Wootton Payroll - November 2018,151,-32.34,Private Medical Insurance Therapists,22649751-f103-42cb-9e47-c07a82186da8
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,520-1,360.87,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,476-1,169.42,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,152,1205.94,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,825,-133.5,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,825,-2107.1,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,825,-1509.75,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,825,-1736.23,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,814,-17402.75,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,858,-407.11,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,858,-272.03,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,520,59.15,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,476,30.45,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,153,182.43,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,970,1548.15,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,970,1548.15,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,814,-3096.3,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,478,-17.65,Private Medical Insurance Directors,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,476-2,-49.32,Private Medical Insurance Reception,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,478,702.0,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,520-2,3827.81,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,476-2,3699.56,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,154,205.49,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,POSTED,NoTax,Moulton Payroll - November 2018,151,13192.32,Moulton Payroll - October 2018,0b664e38-34f5-4134-bc30-b59155138f8f
2018-11-30,VOIDED,NoTax,closing stock per client,701,1296.43,closing stock per client,3e845a2e-3b08-47a5-aa7c-c67f2915ce12
2018-11-30,VOIDED,NoTax,closing stock per client,107,-1296.43,closing stock per client,3e845a2e-3b08-47a5-aa7c-c67f2915ce12
2018-11-30,VOIDED,NoTax,closing stock per client,701,1498.53,closing stock per client,3e845a2e-3b08-47a5-aa7c-c67f2915ce12
2018-11-30,VOIDED,NoTax,closing stock per client,107,-1498.53,closing stock per client,3e845a2e-3b08-47a5-aa7c-c67f2915ce12
2018-12-01,POSTED,NoTax,Reversal: closing stock per client,701,-1334.07,closing stock per client,103dc3c4-db19-4ac5-9969-16c54bdd034f
2018-12-01,POSTED,NoTax,Reversal: closing stock per client,107,1334.07,closing stock per client,103dc3c4-db19-4ac5-9969-16c54bdd034f
2018-12-01,POSTED,NoTax,Reversal: closing stock per client,701,-1498.53,closing stock per client,103dc3c4-db19-4ac5-9969-16c54bdd034f
2018-12-01,POSTED,NoTax,Reversal: closing stock per client,107,1498.53,closing stock per client,103dc3c4-db19-4ac5-9969-16c54bdd034f
2018-11-30,POSTED,NoTax,closing stock per client,701,1334.07,closing stock per client,b40e5706-3158-4299-b45d-48e0b31dc830
2018-11-30,POSTED,NoTax,closing stock per client,107,-1334.07,closing stock per client,b40e5706-3158-4299-b45d-48e0b31dc830
2018-11-30,POSTED,NoTax,closing stock per client,701,1498.53,closing stock per client,b40e5706-3158-4299-b45d-48e0b31dc830
2018-11-30,POSTED,NoTax,closing stock per client,107,-1498.53,closing stock per client,b40e5706-3158-4299-b45d-48e0b31dc830
2018-11-30,POSTED,NoTax,Loan and Mortgage Interest,901,-7.91,Loan and Mortgage Interest,b900163c-23ae-4421-90d8-85e5ebe5f125
2018-11-30,POSTED,NoTax,Loan and Mortgage Interest,902,-193.95,Loan and Mortgage Interest,b900163c-23ae-4421-90d8-85e5ebe5f125
2018-11-30,POSTED,NoTax,Loan and Mortgage Interest,496,201.86,Loan and Mortgage Interest,b900163c-23ae-4421-90d8-85e5ebe5f125
2018-11-30,POSTED,NoTax,Loan and Mortgage Interest,901,-7.91,Loan and Mortgage Interest,b900163c-23ae-4421-90d8-85e5ebe5f125
2018-11-30,POSTED,NoTax,Loan and Mortgage Interest,902,-193.95,Loan and Mortgage Interest,b900163c-23ae-4421-90d8-85e5ebe5f125
2018-11-30,POSTED,NoTax,Loan and Mortgage Interest,496,201.86,Loan and Mortgage Interest,b900163c-23ae-4421-90d8-85e5ebe5f125
2018-11-30,POSTED,NoTax,Loan and Mortgage Interest,902-1,-235.42,Loan and Mortgage Interest,b900163c-23ae-4421-90d8-85e5ebe5f125
2018-11-30,POSTED,NoTax,Loan and Mortgage Interest,601,235.42,Loan and Mortgage Interest,b900163c-23ae-4421-90d8-85e5ebe5f125
2018-11-30,POSTED,NoTax,Loan and Mortgage Interest,902-1,-235.42,Loan and Mortgage Interest,b900163c-23ae-4421-90d8-85e5ebe5f125
2018-11-30,POSTED,NoTax,Loan and Mortgage Interest,601,235.42,Loan and Mortgage Interest,b900163c-23ae-4421-90d8-85e5ebe5f125
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,478,702.0,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,520-2,1676.38,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,476-2,4543.38,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,154,445.81,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,151,10766.26,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,520-1,182.92,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,476-1,239.59,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,152,1081.07,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,825,-58.5,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,825,-1864.5,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,825,-1307.49,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,825,-1503.58,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,814,-14566.63,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,858,-286.72,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,858,-238.92,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,520,28.5,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,476,37.89,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,153,172.53,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,970,1548.15,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,970,1548.15,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,814,-3096.3,Wootton Payroll - October 2018,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,478,-17.65,Private Medical Insurance Directors,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Wootton Payroll - December 2018,151,-32.34,Private Medical Insurance Therapists,439d2e6e-a338-4d58-a60f-18fd707fad50
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,478,702.0,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,520-2,3825.96,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,476-2,3589.27,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,154,175.92,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,151,12888.08,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,520-1,360.62,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,476-1,154.51,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,152,1149.22,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,825,-131.5,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,825,-2037.9,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,825,-1447.23,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,825,-1664.35,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,814,-17091.49,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,858,-406.14,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,858,-271.3,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,520,59.11,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,476,28.03,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,153,184.16,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,970,1548.15,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,970,1548.15,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,814,-3096.3,Moulton Payroll - December 2018,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,478,-17.65,Private Medical Insurance Directors,97a771ce-600c-40dd-a61c-5a95ebf36750
2018-12-31,POSTED,NoTax,Moulton Payroll - December 2018,476-2,-49.32,Private Medical Insurance Reception,97a771ce-600c-40dd-a61c-5a95ebf36750
2019-01-01,POSTED,NoTax,Reversal: closing stock per client,701,-1089.04,closing stock per client,d50c7182-34b4-4e92-9057-7bd811d75e80
2019-01-01,POSTED,NoTax,Reversal: closing stock per client,107,1089.04,closing stock per client,d50c7182-34b4-4e92-9057-7bd811d75e80
2019-01-01,POSTED,NoTax,Reversal: closing stock per client,701,-1221.38,closing stock per client,d50c7182-34b4-4e92-9057-7bd811d75e80
2019-01-01,POSTED,NoTax,Reversal: closing stock per client,107,1221.38,closing stock per client,d50c7182-34b4-4e92-9057-7bd811d75e80
2018-12-31,POSTED,NoTax,closing stock per client,701,1089.04,closing stock per client,51fe1662-f6a2-4e60-9550-0499ff556e8a
2018-12-31,POSTED,NoTax,closing stock per client,107,-1089.04,closing stock per client,51fe1662-f6a2-4e60-9550-0499ff556e8a
2018-12-31,POSTED,NoTax,closing stock per client,701,1221.38,closing stock per client,51fe1662-f6a2-4e60-9550-0499ff556e8a
2018-12-31,POSTED,NoTax,closing stock per client,107,-1221.38,closing stock per client,51fe1662-f6a2-4e60-9550-0499ff556e8a
2018-12-31,POSTED,NoTax,Loan and Mortgage Interest,901,-7.56,Loan and Mortgage Interest,40f5f6ee-0e95-4cd6-8a4a-9907673b03f6
2018-12-31,POSTED,NoTax,Loan and Mortgage Interest,902,-193.17,Loan and Mortgage Interest,40f5f6ee-0e95-4cd6-8a4a-9907673b03f6
2018-12-31,POSTED,NoTax,Loan and Mortgage Interest,496,200.73,Loan and Mortgage Interest,40f5f6ee-0e95-4cd6-8a4a-9907673b03f6
